nombre,estilo,alcohol_%,min_IBU,max_IBU,astringencia,cuerpo,alcohol_gr/lt,amargor,dulzor,acidez,salado,frutado,lupulo,especias,malteado,opinion_aroma,opinion_apariencia,opinion_paladar,opinion_sabor,opinion_general
The Kaiser,Lager - Märzen / Oktoberfest,8.0,18,25,9,38,36,30,76,18,0,23,44,16,110,3.8,4.01,3.83,3.83,3.65
Oktoberfest,Lager - Märzen / Oktoberfest,6.6,18,25,16,32,22,41,63,5,0,9,58,31,115,3.56,3.81,3.68,3.67,3.77
Octoberfest Beer,Lager - Märzen / Oktoberfest,5.3,18,25,17,60,4,60,59,20,0,24,76,19,115,3.75,4.25,3.75,3.75,4.25
Shiner Märzen-Style Oktoberfest,Lager - Märzen / Oktoberfest,5.8,18,25,12,31,10,39,44,9,1,12,49,14,72,3.2,3.61,3.28,3.27,3.46
Staghorn Octoberfest,Lager - Märzen / Oktoberfest,6.25,18,25,13,54,4,35,64,19,1,23,59,20,117,3.74,3.9,3.92,4.0,4.13
Hoss Oktoberfest Lager,Lager - Märzen / Oktoberfest,6.2,18,25,31,36,9,42,58,28,1,36,63,34,134,3.65,3.83,3.81,3.85,3.93
Dogtoberfest,Lager - Märzen / Oktoberfest,5.6,18,25,17,46,7,47,71,19,1,12,69,10,115,3.48,3.69,3.53,3.55,3.64
Oktoberfest,Lager - Märzen / Oktoberfest,5.45,18,25,17,28,11,26,52,7,0,13,33,6,82,3.13,3.59,3.57,3.43,3.46
Beck's Oktoberfest,Lager - Märzen / Oktoberfest,5.0,18,25,13,34,5,29,49,12,0,14,41,5,87,3.29,3.6,3.38,3.35,3.55
Märzen,Lager - Märzen / Oktoberfest,5.7,18,25,7,30,9,21,52,16,0,12,21,4,72,3.4,3.66,3.51,3.55,3.69
Munsterfest,Lager - Märzen / Oktoberfest,6.0,18,25,18,46,8,35,47,15,2,26,50,11,95,3.65,3.68,3.75,3.75,3.89
Oaktoberfest,Lager - Märzen / Oktoberfest,5.0,18,25,19,39,5,39,52,23,1,26,64,26,95,3.7,3.96,3.91,3.93,4.09
Warsteiner Premium Oktoberfest,Lager - Märzen / Oktoberfest,5.9,18,25,18,38,8,30,53,9,2,17,58,7,89,3.14,3.3,3.32,3.25,3.55
Bob's '47 Oktoberfest,Lager - Märzen / Oktoberfest,5.8,18,25,6,21,2,16,38,21,0,24,23,5,68,3.64,3.75,3.77,3.8,3.91
Oktoberfest,Lager - Märzen / Oktoberfest,6.5,18,25,12,37,23,36,73,28,2,28,44,10,91,3.46,3.73,3.68,3.67,3.7
Oktoberfest Bier (Oktoberfest Wiesn),Lager - Märzen / Oktoberfest,6.0,18,25,13,35,6,41,44,14,0,22,72,12,105,3.67,3.91,3.88,3.85,4.15
Copper Legend Octoberfest,Lager - Märzen / Oktoberfest,5.7,18,25,19,33,6,30,56,14,1,13,49,9,86,3.17,3.33,3.17,3.17,3.17
Atom Smasher,Lager - Märzen / Oktoberfest,7.0,18,25,13,38,17,25,56,10,0,13,29,20,83,3.52,3.57,3.45,3.56,3.5
Oktoberfest,Lager - Märzen / Oktoberfest,6.6,18,25,11,35,13,27,52,12,2,18,29,2,65,3.56,3.69,3.6,3.65,3.78
Oktober Fest,Lager - Märzen / Oktoberfest,5.0,18,25,15,37,9,37,50,25,0,25,69,3,83,3.49,3.71,3.63,3.62,3.79
Oktoberfest,Lager - Märzen / Oktoberfest,5.5,18,25,15,40,2,34,53,9,0,20,46,12,73,3.52,3.72,3.58,3.62,3.81
OktoberFish,Lager - Märzen / Oktoberfest,6.0,18,25,8,23,7,15,42,21,0,18,28,2,68,3.5,3.6,3.54,3.56,3.7
Oktoberfest,Lager - Märzen / Oktoberfest,6.1,18,25,19,43,1,36,53,16,0,19,50,6,102,3.6,3.83,3.75,3.88,4.03
Fest Märzen Lager,Lager - Märzen / Oktoberfest,5.5,18,25,27,35,4,43,42,8,2,8,53,12,110,3.47,4.06,3.71,3.64,3.83
Schell's Oktoberfest,Lager - Märzen / Oktoberfest,5.5,18,25,22,36,12,32,62,11,0,9,58,13,105,3.44,3.74,3.56,3.59,3.78
Oktoberfest,Lager - Märzen / Oktoberfest,5.5,18,25,13,36,5,35,67,18,0,23,44,17,123,3.59,3.73,3.66,3.62,3.79
Oktoberfest Lager Beer,Lager - Märzen / Oktoberfest,5.7,18,25,16,42,5,25,65,18,0,15,40,14,107,3.26,3.52,3.5,3.39,3.46
Barktoberfest,Lager - Märzen / Oktoberfest,6.0,18,25,19,61,22,43,82,11,1,14,66,4,137,3.59,3.66,3.74,3.65,3.77
Dundee Oktoberfest,Lager - Märzen / Oktoberfest,5.5,18,25,14,38,10,30,61,17,0,19,47,11,109,3.34,3.63,3.38,3.46,3.62
Oktoberfest,Lager - Märzen / Oktoberfest,6.0,18,25,16,38,8,25,73,15,1,20,32,9,106,3.74,3.78,3.72,3.79,3.9
Aecht Schlenkerla Rauchbier Märzen,Lager - Rauchbier,5.4,20,30,8,33,6,30,26,5,0,2,26,4,64,4.21,4.02,3.9,4.07,3.83
Aecht Schlenkerla Rauchbier Urbock,Lager - Rauchbier,6.6,20,30,11,50,11,20,45,4,2,6,17,4,80,4.25,4.06,4.0,4.16,3.87
Smoke & Dagger,Lager - Rauchbier,5.8,20,30,18,90,10,53,71,12,0,26,45,4,128,4.17,4.22,4.17,4.28,4.22
Aecht Schlenkerla Eiche,Lager - Rauchbier,8.0,20,30,6,47,16,25,47,11,0,13,34,4,58,4.24,3.84,3.97,4.16,4.05
Aecht Schlenkerla Rauchbier Weizen,Lager - Rauchbier,5.2,20,30,10,43,9,14,34,19,0,21,15,4,98,4.03,3.95,3.78,3.87,3.76
Aecht Schlenkerla Fastenbier (Lentbeer),Lager - Rauchbier,5.9,20,30,15,66,12,55,63,7,1,9,69,4,106,4.36,4.14,4.12,4.3,4.2
Rauch Ür Bock,Lager - Rauchbier,7.4,20,30,6,34,8,15,74,17,2,19,12,4,64,4.31,3.82,3.89,4.15,4.17
Eisenbahn Rauchbier,Lager - Rauchbier,6.3,20,30,13,38,14,27,74,14,0,22,27,4,100,3.88,3.8,3.84,3.95,3.97
Ludwig's Revenge,Lager - Rauchbier,5.0,20,30,16,69,8,38,55,3,0,3,17,4,83,3.89,3.86,3.86,3.86,4.0
Göller Rauchbier,Lager - Rauchbier,4.9,20,30,13,46,11,26,45,18,0,18,42,4,80,3.75,3.79,3.62,3.67,3.88
Saranac Rauchbier Smoked Lager,Lager - Rauchbier,5.6,20,30,15,49,8,21,27,14,0,14,29,4,72,3.07,3.3,3.34,3.21,3.45
Rauchbier,Lager - Rauchbier,5.6,20,30,19,33,11,20,30,13,0,7,27,4,53,3.65,4.05,3.75,3.6,3.55
Bonfire Of The Valkyries,Lager - Rauchbier,8.0,20,30,12,84,11,45,60,5,2,2,23,4,98,4.07,3.79,4.14,4.21,3.93
Rauchbier,Lager - Rauchbier,5.2,20,30,16,45,13,24,38,6,2,3,25,4,69,4.07,3.89,3.86,4.07,4.11
Aecht Schlenkerla Kräusen,Lager - Rauchbier,4.55,20,30,29,56,12,22,23,13,1,6,28,4,67,3.81,4.04,4.04,3.88,3.92
Smoky MaryNew Orleans Lager & Ale Brewing Company (NOLA),Lager - Rauchbier,5.3,20,30,3,11,3,6,15,2,0,2,6,51,34,3.93,4.07,4.29,4.29,4.29
Smoke Out,Lager - Rauchbier,8.0,20,30,3,30,3,3,23,10,1,7,2,33,22,3.75,3.56,3.5,3.62,3.62
Deep Purple Rauchbier,Lager - Rauchbier,6.2,20,30,2,11,4,3,16,6,0,6,5,38,18,3.67,3.58,3.33,3.25,3.33
Smokey The Beer,Lager - Rauchbier,5.2,20,30,4,12,2,5,11,0,0,0,7,19,22,4.0,3.67,4.5,4.5,4.33
Rauchbier,Lager - Rauchbier,3.8,20,30,10,32,12,10,56,27,2,32,6,4,45,3.88,3.88,3.78,3.92,3.98
Weiherer Rauch,Lager - Rauchbier,5.3,20,30,11,29,8,19,24,13,0,9,24,4,27,3.73,3.73,3.31,3.5,3.46
Hallerndorfer Raiterla Rauchbier,Lager - Rauchbier,5.0,20,30,6,13,6,8,16,2,0,3,10,34,27,4.25,3.75,4.12,4.12,3.88
Rauchbock,Lager - Rauchbier,7.0,20,30,6,26,9,15,17,3,0,4,19,4,42,3.58,3.96,3.46,3.5,3.54
Bamberg Rauchbier,Lager - Rauchbier,4.8,20,30,8,9,5,2,7,3,0,2,2,23,20,4.25,3.5,3.75,3.5,3.5
Bishop Bob's Holy Smoke,Lager - Rauchbier,5.6,20,30,3,15,1,5,19,4,2,5,6,37,30,3.25,3.94,3.31,3.5,3.5
Samuel Adams Black LagerBoston Beer Company (Samuel Adams),Lager - Schwarzbier,4.9,20,30,16,57,3,45,38,3,0,5,18,4,94,3.63,3.89,3.75,3.85,3.91
Schwarzbier,Lager - Schwarzbier,4.8,20,30,26,80,13,59,51,17,1,13,41,24,123,3.66,4.04,3.78,3.89,4.04
Shiner Bohemian Black Lager,Lager - Schwarzbier,4.9,20,30,8,47,6,52,36,4,0,5,35,5,91,3.33,3.66,3.35,3.45,3.63
Baba Black Lager,Lager - Schwarzbier,4.0,20,30,28,69,4,48,41,9,0,9,29,13,101,3.5,3.9,3.73,3.5,3.57
Saranac Black Forest Black Beer,Lager - Schwarzbier,5.5,20,30,19,43,3,31,57,10,0,15,34,3,73,3.55,3.81,3.6,3.75,3.81
Howl,Lager - Schwarzbier,4.6,20,30,22,74,7,69,42,4,0,2,33,14,114,3.58,3.83,3.68,3.72,3.81
Black Bavarian,Lager - Schwarzbier,6.0,20,30,9,59,9,58,37,4,0,3,30,9,107,3.91,4.09,4.03,4.16,4.13
Mönchshof Schwarzbier,Lager - Schwarzbier,4.9,20,30,13,70,5,43,52,11,1,14,34,7,100,3.85,4.06,3.92,4.03,4.19
Ugly Pug Black Lager,Lager - Schwarzbier,4.5,20,30,14,53,4,40,55,2,1,1,26,8,75,3.53,3.77,3.49,3.61,3.73
Krušovice Cerne,Lager - Schwarzbier,3.8,20,30,24,58,3,58,40,6,0,7,49,6,91,3.45,3.85,3.47,3.53,3.69
McSorley's Irish Black Lager,Lager - Schwarzbier,5.5,20,30,31,73,5,68,64,11,0,9,55,2,123,3.35,3.62,3.49,3.55,3.64
Schwarzbier,Lager - Schwarzbier,5.8,20,30,21,78,6,83,37,3,2,5,59,26,131,4.0,4.03,3.86,4.08,4.07
Dark Helmet,Lager - Schwarzbier,6.0,20,30,7,61,2,46,34,2,0,2,30,14,109,3.8,3.9,4.0,4.2,4.3
Krombacher Dark,Lager - Schwarzbier,4.7,20,30,17,47,3,34,36,1,0,1,24,8,88,3.38,3.91,3.5,3.59,3.66
Einbecker Schwarzbier,Lager - Schwarzbier,4.9,20,30,21,69,6,56,59,13,0,26,47,5,131,3.64,3.75,3.67,3.67,3.79
S1nist0r Black Ale,Lager - Schwarzbier,5.7,20,30,10,67,10,47,31,15,0,12,31,12,79,3.55,3.81,3.42,3.61,3.76
Schwarzbier,Lager - Schwarzbier,4.2,20,30,21,72,0,40,54,7,1,4,11,15,107,3.63,3.85,3.6,3.76,3.88
Black Thunder,Lager - Schwarzbier,5.2,20,30,23,70,4,61,47,9,0,6,41,4,127,3.75,4.0,4.0,3.75,3.75
BREWtality - Espresso Black Bier,Lager - Schwarzbier,9.7,20,30,16,32,40,25,92,19,0,22,39,13,47,4.35,4.09,3.98,4.24,4.04
Sustenance Black Beer - Bourbon Barrel-Aged,Lager - Schwarzbier,6.5,20,30,14,98,7,28,67,23,0,17,18,31,159,3.96,3.94,3.77,3.95,3.96
Sustenance Black Bier,Lager - Schwarzbier,6.0,20,30,20,101,22,89,71,27,0,21,70,30,119,3.72,3.83,3.69,3.78,3.81
Dark Helmet Imperial Schwarzbier,Lager - Schwarzbier,8.0,20,30,15,86,28,48,96,19,0,22,34,23,140,3.55,3.79,3.64,3.64,3.61
Zeitgeist,Lager - Schwarzbier,4.9,20,30,31,88,9,70,67,20,1,21,46,14,123,3.62,3.71,3.64,3.63,3.74
LA-31 Bière Noire,Lager - Schwarzbier,5.25,20,30,13,57,7,41,46,16,0,14,27,5,90,3.92,3.5,3.75,3.5,3.33
Black Radish Dark Lager,Lager - Schwarzbier,5.3,20,30,20,66,5,52,47,11,0,11,28,6,113,3.37,3.68,3.57,3.53,3.53
Das Schwarze,Lager - Schwarzbier,4.9,20,30,18,72,2,45,68,8,0,11,36,5,134,3.63,3.87,3.71,3.71,3.89
Monteith's Black,Lager - Schwarzbier,5.2,20,30,12,77,7,40,61,8,0,4,17,8,108,3.37,3.67,3.46,3.54,3.63
Miner Mishap,Lager - Schwarzbier,5.3,20,30,18,81,13,58,82,14,0,5,29,15,121,3.48,3.71,3.47,3.49,3.54
Saranac Black Lager,Lager - Schwarzbier,5.5,20,30,8,67,9,52,50,5,0,5,53,4,103,3.3,3.61,3.47,3.38,3.55
Herold Bohemian Black Lager,Lager - Schwarzbier,5.2,20,30,14,83,9,71,71,17,0,27,43,23,128,3.89,4.07,3.9,4.01,4.07
Samuel Adams Boston LagerBoston Beer Company (Samuel Adams),Lager - Vienna,5.0,15,30,17,25,4,41,33,10,0,7,54,7,83,3.66,3.89,3.77,3.87,4.04
Eliot Ness,Lager - Vienna,6.1,15,30,16,37,9,39,44,12,0,22,42,5,78,3.88,4.12,4.06,4.14,4.21
Dos Equis Ambar,Lager - Vienna,4.7,15,30,14,32,3,28,53,11,0,10,57,16,94,2.88,3.28,3.07,3.09,3.35
Vienna Lager,Lager - Vienna,5.2,15,30,7,30,2,31,31,8,0,4,44,3,67,3.86,4.0,3.91,4.09,4.18
Vienna Style Lager,Lager - Vienna,5.3,15,30,30,38,4,41,62,20,0,23,66,23,103,3.5,3.7,3.6,3.8,3.8
Red Lager,Lager - Vienna,4.9,15,30,17,26,7,42,28,4,0,6,65,7,80,3.04,3.44,3.06,3.15,3.32
Victoria,Lager - Vienna,4.0,15,30,10,16,5,9,23,7,0,4,14,8,54,2.83,3.16,2.98,3.01,3.22
Schell's FireBrick,Lager - Vienna,5.0,15,30,11,35,8,42,40,12,0,10,55,16,85,3.45,3.77,3.58,3.67,3.83
Penn Pilsner,Lager - Vienna,5.0,15,30,25,37,4,31,39,9,0,10,45,2,88,3.47,3.66,3.69,3.66,3.81
Special Amber,Lager - Vienna,5.0,15,30,14,38,7,51,57,23,0,28,71,12,90,3.46,3.69,3.64,3.59,3.74
Indio,Lager - Vienna,4.1,15,30,4,24,4,8,40,8,0,6,8,1,58,3.24,3.54,3.4,3.37,3.76
Schild Brau Amber,Lager - Vienna,4.9,15,30,24,30,13,37,72,19,0,12,48,5,117,3.44,3.57,3.54,3.57,3.71
Big Bark Amber Lager,Lager - Vienna,4.9,15,30,16,33,11,35,31,13,1,9,56,5,91,3.53,3.77,3.56,3.63,3.71
Saranac Season's Best - Nut Brown Lager,Lager - Vienna,5.3,15,30,26,39,9,46,54,9,1,10,51,12,130,3.39,3.7,3.46,3.51,3.59
Dynamo Copper Lager,Lager - Vienna,5.8,15,30,19,41,8,40,57,11,0,15,55,6,112,3.62,3.81,3.85,3.75,3.99
Rusty Chain,Lager - Vienna,5.2,15,30,14,45,7,38,53,9,0,5,48,7,80,3.25,3.56,3.62,3.62,3.62
The Raven Special Lager,Lager - Vienna,5.25,15,30,24,30,7,26,54,17,1,18,37,11,92,3.37,3.39,3.49,3.53,3.63
Jenny Lake Lager,Lager - Vienna,4.8,15,30,12,54,8,35,78,11,0,16,53,2,134,3.69,3.8,3.82,3.8,3.97
1906 Reserva Especial,Lager - Vienna,6.5,15,30,21,26,9,34,47,10,0,10,61,7,88,2.82,3.25,3.1,2.9,2.9
Pietra (Amber),Lager - Vienna,6.0,15,30,25,28,18,26,51,19,0,9,57,5,126,3.42,3.5,3.46,3.58,3.54
Mac Queen's Nessie,Lager - Vienna,5.0,15,30,16,45,46,28,66,32,2,30,44,21,113,3.25,3.32,3.32,3.24,3.29
Wild Hop Organic Amber LagerGreen Valley Brewing Company (Crooked Creek),Lager - Vienna,5.0,15,30,24,40,8,48,34,20,0,12,63,4,58,3.01,3.32,3.06,3.04,3.23
Oktoberfest,Lager - Vienna,6.0,15,30,26,61,16,70,35,26,2,22,91,4,112,3.76,3.76,3.86,3.86,3.97
Menabrea Ambrata,Lager - Vienna,5.0,15,30,19,35,4,27,58,13,0,12,36,3,108,3.25,3.75,3.0,2.88,3.38
Ybor Gold Amber Lager,Lager - Vienna,4.6,15,30,20,26,2,28,37,13,0,9,43,5,73,3.16,3.24,3.31,3.32,3.45
Bohemia Oscura,Lager - Vienna,5.5,15,30,13,39,11,24,50,11,0,17,25,2,107,3.18,3.59,3.56,3.62,3.74
Saranac Winter Lager,Lager - Vienna,5.9,15,30,12,34,3,30,62,1,0,2,41,14,102,3.43,3.79,3.48,3.45,3.7
Danish Red Lager,Lager - Vienna,5.0,15,30,19,43,8,27,51,15,0,17,38,2,88,3.67,3.5,3.83,3.83,3.67
Shiner Bavarian Style Amber,Lager - Vienna,4.9,15,30,23,43,7,55,49,12,0,14,80,5,100,3.4,3.7,3.38,3.52,3.65
Left Coast Una Mas Amber Lager,Lager - Vienna,6.4,15,30,12,31,11,30,58,16,0,11,42,6,98,3.42,3.92,3.58,3.33,3.5
Vienna Red Lager,Lager - Vienna,4.4,15,30,29,58,4,39,59,12,0,11,53,7,102,3.27,3.67,3.65,3.67,3.77
Vienna-Style Amber Lager,Lager - Vienna,5.5,15,30,26,46,10,33,70,29,1,30,46,8,84,3.06,3.78,3.11,3.0,3.17
Red Stallion,Lager - Vienna,5.8,15,30,8,38,6,27,14,9,0,8,31,3,51,3.09,3.69,3.34,3.5,3.53
Fat Cat Lager,Lager - Vienna,4.9,15,30,16,27,5,22,49,33,0,27,25,4,67,2.87,3.37,3.01,3.09,3.33
P.J.W. Copper Lager,Lager - Vienna,5.6,15,30,7,10,1,13,22,7,0,5,22,2,39,2.88,3.75,3.88,3.88,3.75
Tuborg Classic,Lager - Vienna,4.6,15,30,15,10,8,25,10,2,1,2,31,2,34,3.5,4.0,3.04,2.71,3.18
Trailhead,Lager - Vienna,4.5,15,30,27,41,6,44,48,19,0,20,63,1,71,2.94,3.1,3.02,2.81,3.09
Faro,Lambic - Faro,5.0,0,10,12,58,6,17,92,85,0,37,21,21,44,3.88,3.88,3.85,3.92,3.92
Chapeau Faro Lambic,Lambic - Faro,4.75,0,10,24,35,13,7,52,10,0,76,9,2,40,3.38,3.55,3.4,3.42,3.28
Girardin Faro 1882,Lambic - Faro,5.0,0,10,27,37,5,10,132,10,0,50,17,27,64,3.72,3.94,3.7,3.64,3.74
Faro Boon,Lambic - Faro,4.0,0,10,13,17,3,5,101,67,0,39,9,0,22,3.25,3.33,3.08,3.33,3.42
Faro,Lambic - Faro,4.0,0,10,10,20,2,2,89,79,1,54,7,5,26,3.6,3.9,3.8,3.8,3.7
Mort Subite Faro,Lambic - Faro,5.0,0,10,3,10,4,1,38,21,0,7,1,0,15,3.5,3.64,3.57,3.64,4.07
St. Louis Premium Faro,Lambic - Faro,3.2,0,10,3,4,1,1,34,30,1,10,1,0,11,3.44,3.62,3.56,3.5,3.31
Tilquin Faro,Lambic - Faro,4.8,0,10,0,2,1,2,19,18,0,16,3,0,2,3.25,4.0,3.25,3.25,3.0
De Cam Faro,Lambic - Faro,5.0,0,10,0,0,0,0,0,0,0,0,0,0,0,3.0,4.0,3.5,4.0,3.5
Fou' Foune,Lambic - Fruit,5.5,15,21,21,17,2,4,66,10,1,107,16,1,5,4.45,4.19,4.32,4.45,4.35
Framboise,Lambic - Fruit,2.5,15,21,21,50,13,5,52,10,0,125,10,9,23,4.06,4.1,3.88,3.99,3.84
Kriek 100% Lambic,Lambic - Fruit,5.0,15,21,25,36,5,2,42,10,0,98,16,17,10,4.16,4.16,4.08,4.25,4.0
Rosé De Gambrinus,Lambic - Fruit,5.0,15,21,29,37,3,6,118,10,0,104,17,3,14,4.16,4.11,4.09,4.17,4.01
Saint Lamvinus,Lambic - Fruit,7.0,15,21,13,36,13,5,101,10,0,121,13,4,16,4.3,4.28,4.31,4.47,4.37
Lou Pepe - Kriek,Lambic - Fruit,5.0,15,21,23,22,4,2,44,10,0,74,7,5,13,4.32,4.36,4.3,4.46,4.32
Vigneronne,Lambic - Fruit,5.0,15,21,37,30,7,10,103,10,0,6,22,3,26,4.17,3.89,4.08,4.28,4.13
Lou Pepe - Framboise,Lambic - Fruit,5.5,15,21,26,23,6,4,80,10,1,77,5,3,8,4.42,4.15,4.12,4.12,4.0
Kriek,Lambic - Fruit,3.5,15,21,22,28,10,3,87,10,0,102,7,9,13,3.92,4.03,3.85,3.92,3.84
Oude Kriek,Lambic - Fruit,6.5,15,21,38,33,11,4,66,10,1,113,15,9,14,4.16,4.09,4.03,4.22,4.12
Pêche,Lambic - Fruit,2.5,15,21,11,21,9,1,73,43,0,96,1,0,11,3.93,3.83,3.89,4.01,3.96
Hommage,Lambic - Fruit,6.0,15,21,28,15,3,5,88,10,0,102,14,1,9,4.34,4.22,4.34,4.49,4.39
Schaarbeekse Kriek,Lambic - Fruit,6.0,15,21,39,31,8,2,52,10,0,100,18,7,13,4.35,4.22,4.24,4.39,4.36
Mamouche,Lambic - Fruit,5.0,15,21,37,20,5,10,16,10,0,44,78,26,4,4.05,4.12,4.08,4.04,4.0
Blåbær Lambik,Lambic - Fruit,5.0,15,21,30,25,6,5,99,10,0,113,12,0,8,4.53,4.0,4.49,4.63,4.63
Pomme (Apple),Lambic - Fruit,4.0,15,21,14,19,8,6,52,10,0,6,7,2,20,3.78,3.68,3.67,3.71,3.65
Oud Beersel Oude Kriek Vieille,Lambic - Fruit,6.5,15,21,28,42,6,4,29,10,0,81,12,15,8,4.16,4.29,4.1,4.18,4.12
Framboos,Lambic - Fruit,5.0,15,21,26,20,4,4,97,10,0,94,8,0,8,4.7,4.5,4.5,4.75,4.7
Oude Kriek,Lambic - Fruit,6.0,15,21,30,34,9,0,36,10,0,91,6,5,8,4.01,3.91,3.88,4.12,3.92
Coolship Red,Lambic - Fruit,6.2,15,21,13,18,7,2,74,10,1,83,10,3,10,4.34,4.21,4.25,4.38,4.43
Cassis,Lambic - Fruit,3.5,15,21,26,22,8,4,125,10,0,111,10,0,9,3.92,4.06,3.82,3.92,3.78
Boon Kriek,Lambic - Fruit,5.0,15,21,14,34,12,2,52,76,0,95,0,4,20,3.68,3.94,3.59,3.52,3.68
Boon Oude Kriek Mariage Parfait,Lambic - Fruit,8.0,15,21,34,41,11,8,69,10,0,104,8,10,13,4.11,4.21,4.1,4.18,4.18
Oudbeitje,Lambic - Fruit,6.0,15,21,13,38,12,9,70,10,0,119,14,7,21,3.85,3.47,3.49,3.82,3.58
Boon Framboise,Lambic - Fruit,5.5,15,21,24,32,7,1,112,10,1,94,12,5,22,3.79,3.71,3.73,3.75,3.72
Peach,Lambic - Fruit,6.0,15,21,13,41,11,0,70,10,0,6,11,7,39,3.91,3.66,3.69,3.84,3.93
Blackberry,Lambic - Fruit,6.0,15,21,13,28,11,1,103,10,0,117,5,5,3,3.99,4.01,4.03,4.12,4.09
Strawberry Lambic,Lambic - Fruit,6.95,15,21,13,32,6,5,65,10,1,6,11,0,13,3.78,3.64,3.85,3.85,3.95
Persimmon Lambic,Lambic - Fruit,6.95,15,21,13,28,5,10,69,10,0,117,4,3,12,4.12,3.92,4.07,4.25,4.28
Oud Beersel Framboise,Lambic - Fruit,5.0,15,21,38,29,8,12,52,10,2,124,25,10,22,3.85,3.82,3.78,3.79,3.83
Spontanframboos,Lambic - Fruit,7.7,15,21,30,25,14,7,104,10,0,96,10,10,20,3.62,4.25,4.25,3.88,3.75
Cherry,Lambic - Fruit,6.0,15,21,13,29,6,3,56,10,0,119,7,8,36,3.88,3.78,3.82,3.84,3.83
Mort Subite Kriek,Lambic - Fruit,4.5,15,21,15,19,6,1,68,70,0,70,6,0,4,3.52,3.84,3.55,3.54,3.58
St. Louis Premium Framboise,Lambic - Fruit,4.5,15,21,22,28,8,7,52,84,0,115,9,4,17,3.68,3.74,3.36,3.51,3.58
Coolship Cerise,Lambic - Fruit,8.1,15,21,13,33,16,2,44,10,0,115,18,22,18,4.31,3.94,4.12,4.31,4.25
Experimental Raspberry,Lambic - Fruit,6.0,15,21,13,32,15,3,119,10,0,6,15,7,23,3.67,3.39,3.18,3.35,3.03
Experimental Cassis,Lambic - Fruit,6.0,15,21,13,35,7,6,68,10,0,97,5,3,2,3.75,3.61,3.33,3.77,3.6
Strawberry Lambicus,Lambic - Fruit,4.0,15,21,20,27,6,8,67,57,0,94,25,5,21,3.19,3.47,3.03,2.78,2.88
Framboise Lambicus,Lambic - Fruit,4.0,15,21,20,33,10,5,52,10,0,121,9,2,27,3.19,3.62,3.2,3.0,3.12
Scarenbecca Kriek,Lambic - Fruit,6.0,15,21,13,35,12,3,48,10,0,105,12,6,14,4.15,3.77,3.38,4.1,3.91
Belle Vue Kriek,Lambic - Fruit,5.2,15,21,6,25,3,5,71,44,0,62,7,0,3,3.59,3.89,3.42,3.46,3.46
Chez Monieux,Lambic - Fruit,5.8,15,21,35,50,6,0,43,10,0,85,7,7,11,3.97,3.79,3.88,4.05,4.07
Gueuze 100% Lambic,Lambic - Gueuze,5.0,0,10,32,23,9,14,53,10,1,78,25,7,9,4.28,4.13,4.25,4.39,4.26
Oude Geuze,Lambic - Gueuze,6.0,0,10,13,31,9,10,50,10,2,112,24,8,19,4.31,4.22,4.21,4.34,4.27
Oude Gueuze Tilquin à L'Ancienne,Lambic - Gueuze,6.4,0,10,13,36,18,17,74,10,0,114,23,7,20,4.15,4.05,4.09,4.22,4.2
Duck Duck Gooze,Lambic - Gueuze,7.0,0,10,31,23,5,5,48,10,0,65,10,1,9,4.41,4.25,4.41,4.58,4.54
Oude Gueuze,Lambic - Gueuze,6.0,0,10,13,34,15,8,77,10,0,117,17,9,23,4.2,4.02,4.1,4.26,4.11
Lou Pepe - Gueuze,Lambic - Gueuze,5.0,0,10,23,23,3,3,34,10,1,54,6,2,5,4.34,4.11,4.23,4.38,4.41
Girardin Gueuze 1882 (Black Label),Lambic - Gueuze,5.0,0,10,34,32,4,13,45,10,0,98,22,10,11,4.28,4.18,4.24,4.37,4.26
Boon Oude Geuze Mariage Parfait,Lambic - Gueuze,8.0,0,10,35,31,7,8,80,10,1,103,23,13,18,4.17,4.09,4.04,4.09,4.1
St. Louis Gueuze Fond Tradition,Lambic - Gueuze,5.0,0,10,35,41,9,14,67,10,0,117,32,11,13,3.9,3.86,3.93,3.91,3.91
Oud Beersel Oude Geuze Vieille,Lambic - Gueuze,6.0,0,10,13,38,16,12,64,10,0,87,21,7,14,4.06,4.07,4.01,3.99,4.04
Coolship Resurgam,Lambic - Gueuze,6.3,0,10,13,27,13,22,68,10,0,127,22,11,18,4.33,4.33,4.17,4.33,4.5
Oude Geuze Boon,Lambic - Gueuze,7.0,0,10,33,24,6,20,50,10,2,93,20,11,19,3.87,4.03,3.87,3.8,3.82
Gueuze Tilquin (Draught Version),Lambic - Gueuze,4.8,0,10,31,29,16,9,29,10,1,62,13,5,4,4.15,3.82,4.01,4.11,4.07
Doesjel,Lambic - Gueuze,6.0,0,10,13,41,4,14,53,10,0,80,26,5,28,4.09,3.7,3.78,3.98,3.9
Sour Reserve,Lambic - Gueuze,6.0,0,10,13,40,5,6,74,10,0,6,15,15,38,4.27,3.62,4.15,4.27,4.15
Gueuze,Lambic - Gueuze,5.0,0,10,31,32,7,8,131,10,0,97,24,3,24,3.64,3.75,3.64,3.62,3.65
Mort Subite Gueuze,Lambic - Gueuze,4.5,0,10,12,20,6,3,86,10,0,60,9,5,14,3.5,3.75,3.41,3.36,3.53
Oude Geuze De Cam,Lambic - Gueuze,5.5,0,10,13,55,9,11,62,10,1,115,38,10,19,4.28,4.14,4.13,4.4,4.31
